candidate_id,split,instance,n,p,d,instance_id,ref_cost,valid,error,runtime_s,cost,gap_ref_pct,sse,dist_sum,radius_power_cost,max_radius,nonempty_clusters,center_count
11,search,cluster_tai00400_020_2_1,400,20,2,1,8674.0,True,,1.2482962608337402,14999.0,72.91906848051649,146744.0,6581.051900470688,14999.0,65.62011886609167,20,20
11,search,cluster_tai01600_040_2_1,1600,40,2,1,36593.0,True,,5.9561638832092285,29591.0,-19.134807203563522,526467.0,25980.48034379899,29591.0,41.617304093369626,40,40
11,search,cluster_tai04900_070_2_1,4900,70,2,1,44835.0,True,,17.75995945930481,46292.0,3.2496933199509312,1532240.0,77510.09638334456,46292.0,42.5440947723653,70,70
