candidate_id,split,instance,n,p,d,instance_id,ref_cost,valid,error,runtime_s,cost,gap_ref_pct,sse,dist_sum,radius_power_cost,max_radius,nonempty_clusters,center_count
24,search,cluster_tai00400_020_4_1,400,20,4,1,8129576.0,True,,0.5373339653015137,24742856.0,204.35604513691734,197082.0,8161.5731279974725,24742856.0,40.34848200366403,20,20
24,search,cluster_tai01600_040_4_1,1600,40,4,1,6767324.0,True,,6.82411003112793,36429552.0,438.31547004399374,662726.0,29812.614910665063,36429552.0,45.39823785126467,40,40
24,search,cluster_tai04900_070_4_1,4900,70,4,1,27090421.0,True,,58.76095771789551,67449784.0,148.98019857277228,2098571.0,96105.46820497524,67449784.0,40.85339643163099,70,70
