candidate_id,split,instance,n,p,d,instance_id,ref_cost,valid,error,runtime_s,cost,gap_ref_pct,sse,dist_sum,radius_power_cost,max_radius,nonempty_clusters,center_count,sampling_mode,sampling_mode_label,sampling_sample_size,sampling_max_xp,sampling_repair_full,run_c_d1_sampling_mode,run_c_d1_mode_label,run_c_d1_sample_size,run_c_d1_max_xp,run_c_d1_repair_full
31,probe,cluster_tai10000_100_2_1,10000,100,2,1,1984222.989216,True,,1.4752602577209473,2061163.8248795145,3.8776304922217975,2061163.8248795145,130499.17090050124,,,,100,False,off,,10,False,False,not_run_c,,10,False
31,probe,cluster_tai01600_040_3_1,1600,40,3,1,330077.026518,True,,0.08413100242614746,364551.8737985035,10.444485532416621,364551.8737985035,22093.451233761883,,,,40,False,off,,10,False,False,not_run_c,,10,False
31,probe,cluster_tai04900_070_4_1,4900,70,4,1,1360096.142597,True,,0.4739375114440918,1585169.5375088598,16.548344478214542,1585169.5375088598,81593.25654819247,,,,70,False,off,,10,False,False,not_run_c,,10,False
