candidate_id,split,instance,n,p,d,instance_id,ref_cost,valid,error,runtime_s,cost,gap_ref_pct,sse,dist_sum,radius_power_cost,max_radius,nonempty_clusters,center_count,sampling_mode,sampling_mode_label,sampling_sample_size,sampling_max_xp,sampling_repair_full,run_c_d1_sampling_mode,run_c_d1_mode_label,run_c_d1_sample_size,run_c_d1_max_xp,run_c_d1_repair_full
7,probe,cluster_tai10000_100_2_1,10000,100,2,1,1984222.989216,True,,6.4012346267700195,2251842.726500419,13.487382151043414,2251842.726500419,135240.358102064,,,,100,False,off,,10,False,False,not_run_c,,10,False
7,probe,cluster_tai01600_040_3_1,1600,40,3,1,330077.026518,True,,0.8933539390563965,395655.0393848339,19.867487767512877,395655.0393848339,23354.564506105842,,,,40,False,off,,10,False,False,not_run_c,,10,False
7,probe,cluster_tai04900_070_4_1,4900,70,4,1,1360096.142597,True,,3.6506311893463135,1551518.182282235,14.074155031403079,1551518.182282235,81926.36521401907,,,,70,False,off,,10,False,False,not_run_c,,10,False
