candidate_id,split,instance,n,p,d,instance_id,ref_cost,valid,error,runtime_s,cost,gap_ref_pct,sse,dist_sum,radius_power_cost,max_radius,nonempty_clusters,center_count,sampling_mode,sampling_mode_label,sampling_sample_size,sampling_max_xp,sampling_repair_full,run_c_d1_sampling_mode,run_c_d1_mode_label,run_c_d1_sample_size,run_c_d1_max_xp,run_c_d1_repair_full
8,probe,cluster_tai10000_100_2_1,10000,100,2,1,81551.0,True,,6.2438435554504395,71991.0,-11.722725656337753,2772806.0,150665.38780315366,71991.0,41.88078318274385,100,100,False,off,,10,False,False,off,,10,False
8,probe,cluster_tai01600_040_3_1,1600,40,3,1,549435.9933126029,True,,0.26178598403930664,830018.5490648343,51.06737803262068,556674.0,27278.038144239486,830018.5490648343,42.37924020083418,40,40,False,off,,10,False,False,off,,10,False
8,probe,cluster_tai04900_070_4_1,4900,70,4,1,27090421.0,True,,1.9878849983215332,50320859.0,85.75148389166783,2019193.0,94219.91007523243,50320859.0,37.26929030716845,70,70,False,off,,10,False,False,off,,10,False
